"","scenario","method","autocorr","n","bias","mse","coverage","mcse_bias","mcse_mse","mcse_cover"
"205","30","Prais Winsten","0.29|0.12|0.07",50,-0.025,0.619,0.891,0.018,0.019,0.007
"206","30","ARMA","0.29|0.12|0.07",50,-0.026,0.644,0.849,0.018,0.02,0.008
"207","30","Newey West","0.29|0.12|0.07",50,-0.031,0.643,0.817,0.018,0.02,0.009
"208","30","MA(1)","0.29|0.12|0.07",50,-0.027,0.623,0.866,0.018,0.019,0.008
"209","30","MA(2)","0.29|0.12|0.07",50,-0.022,0.655,0.847,0.018,0.021,0.008
"210","30","MA(3)","0.29|0.12|0.07",50,-0.025,0.709,0.8,0.019,0.023,0.009
"211","31","Linear Reg","0.29|0.12|0.07",100,-0.011,0.314,0.855,0.013,0.01,0.008
"212","31","Prais Winsten","0.29|0.12|0.07",100,-0.007,0.304,0.931,0.012,0.01,0.006
"213","31","ARMA","0.29|0.12|0.07",100,-0.009,0.31,0.914,0.012,0.01,0.006
"214","31","Newey West","0.29|0.12|0.07",100,-0.011,0.314,0.869,0.013,0.01,0.008
"215","31","MA(1)","0.29|0.12|0.07",100,-0.008,0.305,0.912,0.012,0.01,0.006
"216","31","MA(2)","0.29|0.12|0.07",100,-0.008,0.307,0.913,0.012,0.01,0.006
"217","31","MA(3)","0.29|0.12|0.07",100,-0.009,0.311,0.909,0.012,0.01,0.006
"218","32","Linear Reg","0.29|0.12|0.07",300,-0.005,0.112,0.836,0.007,0.004,0.008
"219","32","Prais Winsten","0.29|0.12|0.07",300,-0.005,0.11,0.93,0.007,0.004,0.006
"220","32","ARMA","0.29|0.12|0.07",300,-0.006,0.11,0.927,0.007,0.004,0.006
"221","32","Newey West","0.29|0.12|0.07",300,-0.005,0.112,0.901,0.007,0.004,0.007
"222","32","MA(1)","0.29|0.12|0.07",300,-0.006,0.11,0.907,0.007,0.004,0.006
"223","32","MA(2)","0.29|0.12|0.07",300,-0.006,0.11,0.916,0.007,0.004,0.006
"224","32","MA(3)","0.29|0.12|0.07",300,-0.005,0.11,0.933,0.007,0.004,0.006
"225","33","Linear Reg","0.48|0.21|0.04",20,-0.001,1.682,0.842,0.029,0.053,0.008
"226","33","Prais Winsten","0.48|0.21|0.04",20,0.007,1.468,0.871,0.027,0.047,0.007
"227","33","ARMA","0.48|0.21|0.04",20,0.002,1.63,0.792,0.029,0.051,0.009
"228","33","Newey West","0.48|0.21|0.04",20,-0.001,1.682,0.749,0.029,0.053,0.01
"229","33","MA(1)","0.48|0.21|0.04",20,0.007,1.616,0.782,0.028,0.054,0.009
"230","33","MA(2)","0.48|0.21|0.04",20,0.008,1.881,0.688,0.031,0.062,0.01
"231","33","MA(3)","0.48|0.21|0.04",20,0.012,1.987,0.675,0.032,0.067,0.01
"232","34","Linear Reg","0.48|0.21|0.04",50,-0.055,0.874,0.799,0.021,0.026,0.009
"233","34","Prais Winsten","0.48|0.21|0.04",50,-0.053,0.763,0.918,0.02,0.023,0.006
"234","34","ARMA","0.48|0.21|0.04",50,-0.059,0.793,0.874,0.02,0.024,0.007
"235","34","Newey West","0.48|0.21|0.04",50,-0.055,0.874,0.802,0.021,0.026,0.009
"236","34","MA(1)","0.48|0.21|0.04",50,-0.053,0.789,0.862,0.02,0.024,0.008
"237","34","MA(2)","0.48|0.21|0.04",50,-0.058,0.781,0.882,0.02,0.024,0.007
"238","34","MA(3)","0.48|0.21|0.04",50,-0.06,0.876,0.821,0.021,0.027,0.009
"239","35","Linear Reg","0.48|0.21|0.04",100,-0.004,0.461,0.805,0.015,0.015,0.009
"240","35","Prais Winsten","0.48|0.21|0.04",100,0.001,0.43,0.939,0.015,0.014,0.005
"241","35","ARMA","0.48|0.21|0.04",100,0.002,0.432,0.919,0.015,0.014,0.006
"242","35","Newey West","0.48|0.21|0.04",100,-0.004,0.461,0.857,0.015,0.015,0.008
"243","35","MA(1)","0.48|0.21|0.04",100,-0.002,0.431,0.883,0.015,0.014,0.007
"244","35","MA(2)","0.48|0.21|0.04",100,0.001,0.422,0.926,0.015,0.014,0.006
"245","35","MA(3)","0.48|0.21|0.04",100,0.003,0.427,0.921,0.015,0.014,0.006
"246","36","Linear Reg","0.48|0.21|0.04",300,-0.013,0.164,0.797,0.009,0.005,0.009
"247","36","Prais Winsten","0.48|0.21|0.04",300,-0.01,0.155,0.955,0.009,0.005,0.005
"248","36","ARMA","0.48|0.21|0.04",300,-0.011,0.157,0.931,0.009,0.005,0.006
"249","36","Newey West","0.48|0.21|0.04",300,-0.013,0.164,0.904,0.009,0.005,0.007
"250","36","MA(1)","0.48|0.21|0.04",300,-0.012,0.159,0.894,0.009,0.005,0.007
"251","36","MA(2)","0.48|0.21|0.04",300,-0.011,0.156,0.935,0.009,0.005,0.005
"252","36","MA(3)","0.48|0.21|0.04",300,-0.011,0.156,0.942,0.009,0.005,0.005
"253","37","Linear Reg","0.49|0.14|0.03",20,-0.086,1.88,0.844,0.031,0.058,0.008
"254","37","Prais Winsten","0.49|0.14|0.03",20,-0.076,1.604,0.879,0.028,0.05,0.007
"255","37","ARMA","0.49|0.14|0.03",20,-0.071,1.763,0.787,0.03,0.054,0.009
"256","37","Newey West","0.49|0.14|0.03",20,-0.086,1.88,0.719,0.031,0.058,0.01
"257","37","MA(1)","0.49|0.14|0.03",20,-0.089,1.747,0.766,0.029,0.056,0.009
"258","37","MA(2)","0.49|0.14|0.03",20,-0.101,2.103,0.661,0.032,0.066,0.011
"259","37","MA(3)","0.49|0.14|0.03",20,-0.08,2.216,0.632,0.033,0.069,0.011
"260","38","Linear Reg","0.49|0.14|0.03",50,0.008,0.841,0.827,0.021,0.028,0.008
"261","38","Prais Winsten","0.49|0.14|0.03",50,-0.01,0.744,0.934,0.019,0.024,0.006
"262","38","ARMA","0.49|0.14|0.03",50,-0.006,0.749,0.902,0.019,0.025,0.007
"263","38","Newey West","0.49|0.14|0.03",50,0.008,0.841,0.825,0.021,0.028,0.009
"264","38","MA(1)","0.49|0.14|0.03",50,-0.001,0.737,0.895,0.019,0.025,0.007
"265","38","MA(2)","0.49|0.14|0.03",50,-0.014,0.753,0.892,0.019,0.025,0.007
"266","38","MA(3)","0.49|0.14|0.03",50,-0.008,0.82,0.828,0.02,0.027,0.008
"267","39","Linear Reg","0.49|0.14|0.03",100,-0.004,0.497,0.794,0.016,0.016,0.009
"268","39","Prais Winsten","0.49|0.14|0.03",100,-0.008,0.455,0.934,0.015,0.014,0.006
"269","39","ARMA","0.49|0.14|0.03",100,-0.011,0.455,0.901,0.015,0.014,0.007
"270","39","Newey West","0.49|0.14|0.03",100,-0.004,0.497,0.852,0.016,0.016,0.008
"271","39","MA(1)","0.49|0.14|0.03",100,-0.007,0.451,0.885,0.015,0.014,0.007
"272","39","MA(2)","0.49|0.14|0.03",100,-0.007,0.445,0.907,0.015,0.014,0.006
"273","39","MA(3)","0.49|0.14|0.03",100,-0.007,0.455,0.904,0.015,0.014,0.007
"274","40","Linear Reg","0.49|0.14|0.03",300,-0.002,0.162,0.798,0.009,0.005,0.009
"275","40","Prais Winsten","0.49|0.14|0.03",300,-0.006,0.16,0.967,0.009,0.005,0.004
"276","40","ARMA","0.49|0.14|0.03",300,-0.003,0.158,0.935,0.009,0.005,0.006
